epoch,acc,loss,lr,top_k_cat_accuracy,val_acc,val_loss,val_top_k_cat_accuracy
0,0.060240963855421686,4.4074524979583165,0.001,0.12650602414768042,0.05803571428571429,6.172921532676334,0.11755952380952381
1,0.12349397590361445,3.6557315713156933,0.001,0.2715146299483649,0.12996941896024464,3.7692542951041403,0.2874617737003058
2,0.2285958904109589,2.8714052912307113,0.001,0.4520547945205479,0.18960244655153438,3.3007020746166917,0.37920489301193017
3,0.34818339105502133,2.292708857249224,0.001,0.6076989619892774,0.04434250764525994,11.193776431069097,0.0963302752293578
4,0.442340791789677,1.9238142156765097,0.001,0.6962134250264981,0.17889908256880735,3.6104819111138675,0.3302752293577982
5,0.5124784854213466,1.5856198095003218,0.001,0.7706540449556097,0.3944954133908683,2.2168153046832537,0.6559633025700163
6,0.5722891568316856,1.3969443615865789,0.001,0.8248709122203098,0.3241590214750818,2.8886498092511377,0.5871559634850295
7,0.6226333906030901,1.1667179975164943,0.001,0.8627366607242525,0.40978593281285114,2.3271260232371294,0.6422018349535239
8,0.6613597245101469,1.0853566221649182,0.001,0.882530120379338,0.498470948103371,1.9740388389756556,0.7308868497883508
9,0.7026678143187768,0.9397096747785756,0.001,0.9049053355256375,0.5458715596330275,1.7003232346397656,0.7691131493002632
10,0.7043889844068767,0.8672388961311052,0.001,0.9221170394843293,0.5045871560544414,2.0597247756584705,0.718654434615319
11,0.7431153186217028,0.7633356186793716,0.001,0.9341652323580034,0.4801223244324372,2.302737590369828,0.7171253820807197
12,0.7521514629948365,0.747089024870408,0.001,0.9311531842678221,0.5489296641553943,1.8926688458212289,0.7859327220770926
13,0.76592082616179,0.7021886041570654,0.001,0.9462134251290878,0.48929663663245854,2.2416151269860225,0.7446483178605362
14,0.8095034246575342,0.5872261785481074,0.001,0.959332191780822,0.5443425074629827,2.251184033326782,0.7415902144318327
15,0.8016351120812553,0.6041850891868342,0.001,0.9591222030981067,0.5443425081920915,2.277503488625226,0.7675840974947729
16,0.8382352943238915,0.48154032983169426,0.001,0.969290657233202,0.5642201833039613,1.8985953396613444,0.7859327213479839
17,0.8545611016516431,0.4305637152593025,0.001,0.9724612736660929,0.22629969418960244,5.299756420497136,0.4464831804964885
18,0.8570205479452054,0.42049561298056826,0.001,0.978595890410959,0.46483180455476136,2.7925414309953696,0.6804281347388521
19,0.8620242215564095,0.40742786754580107,0.001,0.9740484429065744,0.518348623853211,2.404450604675013,0.7477064220183486
20,0.8700516352144658,0.39542344330510254,0.001,0.9823580033397511,0.600917431557215,1.8456211454642293,0.818042813091103
21,0.8690068493150684,0.404660215933029,0.001,0.9768835616438356,0.4266055046327253,3.157488952718379,0.6529051987767585
22,0.8814878892733564,0.3519960674344462,0.001,0.9848615915923795,0.59375,1.963713214510963,0.8348214285714286
23,0.8962994835462915,0.2851117717906858,0.001,0.9888123924268503,0.5596330276140744,2.39510651247217,0.7889908255057962
24,0.8878424657534246,0.3335676816840694,0.001,0.9845890410958904,0.6605504590801508,1.7409278048652392,0.8363914369443141
25,0.892301038165406,0.313902191843541,0.001,0.9865916952954856,0.4892966360856269,2.7417933379473673,0.7675840974947729
26,0.8925513698630136,0.3182681512138615,0.001,0.983304794520548,0.5152905199688145,2.818822414503185,0.7324159026875043
27,0.9134948094823369,0.27023204196901884,0.001,0.9917820069204152,0.6269113153492639,1.8876646950339688,0.8302752289932438
28,0.9298623062657407,0.210022669779249,0.001,0.9965576592082617,0.6039755355327501,2.205721444675317,0.8333333335156106
29,0.9156626504998199,0.25765149895480083,0.001,0.9944061962134251,0.6865443430544769,1.748385317828677,0.857798165502169
30,0.9135111874023937,0.24700822805578657,0.001,0.9909638552165072,0.6498470944366689,1.672452719933396,0.8440366967008748
31,0.9199486301369864,0.2316194454794877,0.001,0.9931506849315068,0.637614679263637,1.9047383252269268,0.8425076456244932
32,0.9355536331148708,0.2007404363949406,0.001,0.9935121106235214,0.634556574558993,1.819080079002847,0.8348623855033781
33,0.925513698630137,0.23446552281918592,0.001,0.9922945205479452,0.5963302752293578,2.168420585288185,0.8195718656257023
34,0.9243079584775087,0.22905513376100667,0.001,0.991782006817293,0.5244648319865586,3.0220643110596077,0.7660550462361141
35,0.9323630136986302,0.20582008803237792,0.001,0.9948630136986302,0.6314984714948438,2.15439931187061,0.8195718658079795
36,0.9449225475373654,0.16962173042527165,0.001,0.9944061961108354,0.14984709484679254,8.778361055100001,0.30275229385139746
37,0.9450692040491269,0.16170239308043335,0.001,0.995674740484429,0.6070336396905625,2.251796954268709,0.8149847100269539
38,0.9250856164383562,0.2580089608896269,0.001,0.9897260273972602,0.5810397549871276,2.3921863511432564,0.7889908258703506
39,0.9372837366117326,0.19709907059644746,0.001,0.9939446365750785,0.5871559638495839,2.588255779458842,0.7874617731534742
40,0.9439212328767124,0.17265907052445084,0.001,0.9948630136986302,0.69266055082327,1.679678853134132,0.8669724772464974
41,0.9493944634615756,0.16370070677985368,0.001,0.995242214532872,0.5963302757761894,2.527813495116861,0.7859327220770926
42,0.9436316694326943,0.1776731561183314,0.001,0.9939759036144579,0.6467889904611337,2.0788591247086132,0.8272171255645402
43,0.9483648883291038,0.15944076878324845,0.001,0.9948364888123924,0.602446482998151,2.1769243081410727,0.8165137618324443
44,0.9423407915332026,0.179234282054302,0.001,0.9926850258175559,0.5729166666666666,2.41789978316852,0.7901785714285714
45,0.940068493150685,0.18963244317533218,0.001,0.9931506849315068,0.613149846912524,2.2136666636219084,0.825688073029941
46,0.9449225473321858,0.17201794977596419,0.001,0.9931153184165232,0.5672782874617737,2.7623646193688067,0.7828746182838346
47,0.9449225471270064,0.18112441920474967,0.001,0.995697074010327,0.6544342509468032,1.8769533506591751,0.8532110093565891
48,0.9535283991063523,0.15320416375763857,0.001,0.9965576592082617,0.5519877679486522,2.4774886901954627,0.77217125382263
49,0.9522375215146299,0.1647730431232518,0.001,0.9944061961108354,0.579510703910746,2.617225647701765,0.7905198773112866
50,0.9567474047411685,0.14174241991552514,0.001,0.9978373701390924,0.6070336391437309,2.1903458560278657,0.833333332968779
51,0.9511986301369864,0.135937379864491,0.001,0.9987157534246576,0.6743119264232273,1.7766218921824697,0.85168195682199
52,0.9450692040491269,0.17934343858161186,0.001,0.9943771624235134,0.5871559634394602,2.7030699041640722,0.7614678897259797
53,0.9499143835616438,0.17298577241089247,0.001,0.9940068493150684,0.678899082204253,1.9496695725560553,0.8547400611620795
54,0.9664371772805508,0.10171941743455122,0.001,0.9978485370051635,0.6834862381675557,1.9177715023723216,0.8669724765173886
55,0.9675605534269736,0.10405285302291795,0.001,0.9982698961937716,0.6437308866678757,2.165432819532692,0.8318042815278429
